Subject,Predicate,Object,SourceName,SourceChapter,SourceType
桂枝汤加味,证候采用方剂,外伤之痛症,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,桂枝,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,赤白芍,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,炙甘草,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,生姜,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,红枣,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,当归,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,川牛膝,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,木瓜,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,生茂仁,万友生医生病例集,例2,现代临床
桂枝汤加味,方剂组成药材,茯苓,万友生医生病例集,例2,现代临床
万友生医生病例集,名医经验总结,肥大性脊椎炎,万友生医生病例集,例2,现代临床
万友生医生病例集,名医经验总结,右胫腓骨硬化性骨炎,万友生医生病例集,例2,现代临床
万友生医生病例集,名医经验总结,外伤之痛症,万友生医生病例集,例2,现代临床
左小腿灼热疼痛,疾病表现症状,左小腿昼凉夜热,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,热甚时需浸入冷水桶内二三十分钟,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,热处作痒、钻痛,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,热退后仍需将左脚伸出被外,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,唇赤,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,口干反不渴饮,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,纳少,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,大便澹软而四五日一行,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病表现症状,尿频量少而色正常,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病导致舌象,舌红边有瘀斑,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,疾病导致脉象,脉结代,万友生医生病例集,例1,现代临床
左小腿昼凉夜热,症状辨证证候,心所主的血脉中蕴有瘀热而下流于阴分,万友生医生病例集,例1,现代临床
口干反不渴饮,症状辨证证候,热在血分,万友生医生病例集,例1,现代临床
舌红有瘀斑,舌象辨证证候,血脉瘀滞,万友生医生病例集,例1,现代临床
脉结代,脉象辨证证候,血脉瘀滞,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,综合辨证证候,心所主的血脉中蕴有瘀热而下流于阴分,万友生医生病例集,例1,现代临床
心所主的血脉中蕴有瘀热而下流于阴分,证候采用方剂,桃红四物汤加减,万友生医生病例集,例1,现代临床
桃红四物汤加减,方剂组成药材,桃仁、红花、当归、赤白芍、生地、丹皮、丹参、银花、生甘草、川牛膝、黄柏,万友生医生病例集,例1,现代临床
丹参、生地、赤白芍、丹皮、桃仁、红花、黄柏、银花、甘草,药材具有功效,凉血化瘀，清热解毒,万友生医生病例集,例1,现代临床
黄芷、当归,药材具有功效,补养气血,万友生医生病例集,例1,现代临床
川牛膝,药材具有功效,引药力下行,万友生医生病例集,例1,现代临床
黄苗、当归,药材具有功效,补气生血，和血化瘀,万友生医生病例集,例1,现代临床
左小腿灼热疼痛,临床验证理论,王某,万友生医生病例集,例1,现代临床
万友生医生病例集,名医经验总结,左小腿灼热疼痛治疗经验,万友生医生病例集,例1,现代临床
胃溃疡病,疾病表现症状,心下脐上刀口处一团硬结胀满疼痛拒按,万友生医生病例集,例2,现代临床
胃溃疡病,疾病表现症状,呻吟床褥,万友生医生病例集,例2,现代临床
胃溃疡病,疾病表现症状,难以转侧,万友生医生病例集,例2,现代临床
胃溃疡病,疾病导致舌象,舌红苔黄,万友生医生病例集,例2,现代临床
胃溃疡病,疾病导致脉象,脉弦,万友生医生病例集,例2,现代临床
瘀血作痛,证候导致舌象,舌红苔黄,万友生医生病例集,例2,现代临床
瘀血作痛,证候导致脉象,脉弦,万友生医生病例集,例2,现代临床
瘀血作痛,证候采用方剂,失笑散和金铃子散、芍药甘草汤加味,万友生医生病例集,例2,现代临床
失笑散和金铃子散、芍药甘草汤加味,方剂组成药材,生蒲黄、五灵脂、延胡索、川楝子、丹参、山楂肉、赤白芍、生甘草、三七末,万友生医生病例集,例2,现代临床
丹参,药材具有功效,活血化瘀,万友生医生病例集,例2,现代临床
三七,药材具有功效,活血化瘀,万友生医生病例集,例2,现代临床
山楂,药材具有功效,活血化瘀,万友生医生病例集,例2,现代临床
万友生医生病例集,名医经验总结,药量必须与病情相当的重要性和必要性,万友生医生病例集,例2,现代临床
万友生医生病例集,名医经验总结,前人所谓四两拨千斤之法，对急性重病往往是杯水车薪，无济于事,万友生医生病例集,例2,现代临床
误被气枪击伤,疾病表现症状,左腰胀痛,万友生医生病例集,例4,现代临床
误被气枪击伤,疾病表现症状,尿时茎中痛,万友生医生病例集,例4,现代临床
误被气枪击伤,疾病表现症状,小便黄而短涩,万友生医生病例集,例4,现代临床
误被气枪击伤,疾病表现症状,尿时常见大量红、白细胞和脓球,万友生医生病例集,例4,现代临床
误被气枪击伤,疾病表现症状,入暮口干,万友生医生病例集,例4,现代临床
八正散加减,证候采用方剂,淋症,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,木通,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,车前草,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,篇蓄,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,瞿麦,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,石韦,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,白茅根,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,金钱草,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,海金沙,万友生医生病例集,例4,现代临床
八正散加减,方剂组成药材,生甘草,万友生医生病例集,例4,现代临床
木通,药材具有功效,利尿通淋,万友生医生病例集,例4,现代临床
车前草,药材具有功效,清热利尿,万友生医生病例集,例4,现代临床
篇蓄,药材具有功效,利尿通淋,万友生医生病例集,例4,现代临床
瞿麦,药材具有功效,利尿通淋,万友生医生病例集,例4,现代临床
石韦,药材具有功效,利尿通淋,万友生医生病例集,例4,现代临床
白茅根,药材具有功效,清热生津,万友生医生病例集,例4,现代临床
金钱草,药材具有功效,利尿排石,万友生医生病例集,例4,现代临床
海金沙,药材具有功效,利尿通淋,万友生医生病例集,例4,现代临床
生甘草,药材具有功效,和中解毒,万友生医生病例集,例4,现代临床
万友生,名医经验总结,寒温统一和内外统一的热病学术思想,万友生医生病例集,例4,现代临床
万友生,名医经验总结,伤寒知要,万友生医生病例集,例4,现代临床
万友生,名医经验总结,寒温纵横论,万友生医生病例集,例4,现代临床
万友生,名医经验总结,温病概说,万友生医生病例集,例4,现代临床
万友生,名医经验总结,温热论初探,万友生医生病例集,例4,现代临床
万友生,名医经验总结,寒温统一的理论与临床,万友生医生病例集,例4,现代临床
万友生,名医经验总结,漫话寒温统一,万友生医生病例集,例4,现代临床
万友生,名医经验总结,再谈寒温统一,万友生医生病例集,例4,现代临床
万友生,名医经验总结,寒温统一论,万友生医生病例集,例4,现代临床
万友生,名医经验总结,热病学,万友生医生病例集,例4,现代临床
万友生,名医经验总结,论热病的寒温统一和内外统一,万友生医生病例集,例4,现代临床
辨证输液,理论指导实践,适量输液,万友生医生病例集,例4,现代临床
辨证输液,理论指导实践,温控输液,万友生医生病例集,例4,现代临床
湿重于热证,证候导致舌象,舌苔转腻,万友生医生病例集,例4,现代临床
厥阴病,归属于经典,内经,万友生医生病例集,例4,现代临床
厥阴病,归属于经典,伤寒论,万友生医生病例集,例4,现代临床
厥阴病,归属于经典,温病学说,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,昏厥,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,痉厥,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,舌卷,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,囊缩,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,不知人,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,神昏,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,痉厥,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,舌卷囊缩,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,热盛神昏鼾睡,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,语言难出,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,直视,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,惊悸谐语,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,昏厥肤冷,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,躁无暂安时,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,痛引少腹入阴筋,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,少腹里急引阴中拘挛,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,身灼热,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,多眠睡,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,鼻息必鼾,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,如惊痫时癒源,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,神昏谐语,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,手足癒痕,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,面目俱赤,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,肢厥,万友生医生病例集,例4,现代临床
厥阴病,症状伴随症状,通体皆厥,万友生医生病例集,例4,现代临床
万友生,名医经验总结,辨证输液,万友生医生病例集,例4,现代临床
万友生,名医经验总结,治湿不远温,万友生医生病例集,例4,现代临床
万友生,名医经验总结,厥阴病理论的继承和发展,万友生医生病例集,例4,现代临床
温病学家,理论指导实践,温邪上受，首先犯肺，逆传心包,万友生医生病例集,例4,现代临床
太阴温病,证候导致舌象,神昏谐语,万友生医生病例集,例4,现代临床
太阴温病,证候采用方剂,清宫汤,万友生医生病例集,例4,现代临床
大人暑痫,症状伴随症状,热初入营，肝风内动，手足癒痕,万友生医生病例集,例4,现代临床
大人暑痫,证候采用方剂,清宫汤加钩藤、丹皮、羚羊角,万友生医生病例集,例4,现代临床
阳明温病,疾病导致舌象,面目俱赤，肢厥，甚则通体皆厥,万友生医生病例集,例4,现代临床
阳明温病,疾病导致脉象,神昏，不大便七八日以外，小便赤,万友生医生病例集,例4,现代临床
少阴温病,证候导致舌象,阴虚阳亢证,万友生医生病例集,例4,现代临床
少阴温病,证候采用方剂,加减复脉汤,万友生医生病例集,例4,现代临床
厥阴温病,证候导致舌象,阴虚风动证,万友生医生病例集,例4,现代临床
厥阴温病,证候采用方剂,大定风珠,万友生医生病例集,例4,现代临床
厥阴病,疾病导致舌象,痉厥神昏,万友生医生病例集,例4,现代临床
厥阴病,疾病导致脉象,舌短烦躁,万友生医生病例集,例4,现代临床
厥阴寒化危证,疾病表现症状,伤寒脉微而厥，至七八日肤冷，其人躁无暂安时,万友生医生病例集,例4,现代临床
厥阴寒化危证,症状伴随症状,少阴病陷厥阴的寒化恶候,万友生医生病例集,例4,现代临床
厥阴病,综合辨证证候,阴盛阳竭或阳盛阴竭或阴竭阳脱,万友生医生病例集,例4,现代临床
厥阴病,临床验证理论,流行性出血热,万友生医生病例集,例4,现代临床
万友生医生病例集,名医经验总结,厥阴病的治疗,万友生医生病例集,例4,现代临床
疫邪直中少阴,疾病表现症状,阴盛格阳证,万友生医生病例集,例4,现代临床
阴盛格阳证,症状伴随症状,淡漠,万友生医生病例集,例4,现代临床
阴盛格阳证,症状伴随症状,烦躁,万友生医生病例集,例4,现代临床
阴盛格阳证,症状伴随症状,恍惚,万友生医生病例集,例4,现代临床
阴盛格阳证,症状伴随症状,躁扰,万友生医生病例集,例4,现代临床
阴盛格阳证,症状伴随症状,神昏,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,高热,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,昏迷,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,澹语,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,躁扰,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,出血,万友生医生病例集,例4,现代临床
疫邪逆传心包,疾病表现症状,尿少,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,疾病表现症状,二便不通,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,症状伴随症状,势成关格,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,症状伴随症状,瘀热内闭心窍,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,症状伴随症状,谐语,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,症状伴随症状,躁扰,万友生医生病例集,例4,现代临床
邪热与瘀血、水湿内结阳明胃肠,症状伴随症状,神昏,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,痰热水内结,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,阴液大量耗伤,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,正气日见亏竭,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,极度衰竭,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,体温不升,万友生医生病例集,例4,现代临床
尿毒症不解,疾病表现症状,阴竭阳脱证,万友生医生病例集,例4,现代临床
先兆厥阴热厥证,症状伴随症状,逆传心包,万友生医生病例集,例4,现代临床
先兆厥阴热厥证,治疗原则,救阴津、开热闭、息阳风,万友生医生病例集,例4,现代临床
先兆厥阴寒厥证,治疗原则,回阳救逆、开寒闭、息阴风,万友生医生病例集,例4,现代临床
先兆阴竭阳脱证,治疗原则,综合前述二证治法,万友生医生病例集,例4,现代临床
慢性肝炎,疾病导致舌象,舌苔微黄,万友生医生病例集,例4,现代临床
慢性肝炎,疾病导致脉象,脉迟,万友生医生病例集,例4,现代临床
慢性肝炎,证候采用方剂,四君子汤合白茅根汤、麻黄附子甘草汤,万友生医生病例集,例4,现代临床
四君子汤合白茅根汤、麻黄附子甘草汤,方剂组成药材,白芍、浮萍,万友生医生病例集,例4,现代临床
四君子汤合白茅根汤、麻黄附子甘草汤,药材具有功效,健脾助运,万友生医生病例集,例4,现代临床
胃下垂,疾病导致脉象,脉弦有力,万友生医生病例集,例4,现代临床
胃下垂,证候采用方剂,升麻、柴胡、葛根、陈皮、枳壳,万友生医生病例集,例4,现代临床
急性肠梗阻,疾病表现症状,腹胀,万友生医生病例集,例4,现代临床
急性肠梗阻,疾病表现症状,腹痛,万友生医生病例集,例4,现代临床
急性肠梗阻,疾病导致舌象,舌苔白黄厚腻,万友生医生病例集,例4,现代临床
急性肠梗阻,疾病导致脉象,脉缓,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,呕吐物为酸苦水和白痰,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌苔黑润滑,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌根苔黄腻,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌质红,万友生医生病例集,例4,现代临床
呕吐,疾病导致脉象,脉滑,万友生医生病例集,例4,现代临床
呕吐,证候采用方剂,苓连二陈汤合小半夏汤,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,半夏、陈皮、茯苓、黄连、黄苓、生姜、生甘草,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,药材具有功效,止呕,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,脐腹剧痛,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,口干渴喜热饮,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,口淡乏味,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,食下即腕胀,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,噫气,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,肠鸣,万友生医生病例集,例4,现代临床
呕吐,疾病表现症状,大便软条色黄,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌苔黑润滑,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌心余少许,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌根苔黄腻,万友生医生病例集,例4,现代临床
呕吐,疾病导致舌象,舌质红,万友生医生病例集,例4,现代临床
呕吐,疾病导致脉象,脉滑,万友生医生病例集,例4,现代临床
噫气,疾病表现症状,动则增剧,万友生医生病例集,例4,现代临床
噫气,疾病表现症状,静则稍减,万友生医生病例集,例4,现代临床
噫气,疾病表现症状,心下痞硬,万友生医生病例集,例4,现代临床
噫气,疾病表现症状,不思食,万友生医生病例集,例4,现代临床
噫气,疾病表现症状,口干渴饮,万友生医生病例集,例4,现代临床
胃溃疡,疾病表现症状,心下脐上刀口处一团硬结胀满疼痛拒按,万友生医生病例集,例4,现代临床
胃溃疡,疾病表现症状,呻吟床褥,万友生医生病例集,例4,现代临床
胃溃疡,疾病表现症状,难以转侧,万友生医生病例集,例4,现代临床
胃溃疡,疾病导致舌象,舌红苔黄,万友生医生病例集,例4,现代临床
胃溃疡,疾病导致脉象,脉弦,万友生医生病例集,例4,现代临床
阴火虚证,证候导致舌象,发热,万友生医生病例集,例4,现代临床
阴火虚证,证候导致舌象,胃中灼热,万友生医生病例集,例4,现代临床
阴火实证,证候导致舌象,发热,万友生医生病例集,例4,现代临床
阴火实证,证候导致舌象,胃中灼热,万友生医生病例集,例4,现代临床
阴火与阳火相兼证,证候导致舌象,发热,万友生医生病例集,例4,现代临床
阴火与阳火相兼证,证候导致舌象,胃中灼热,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,证候采用方剂,呕吐,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,半夏,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,陈皮,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,茯苓,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,黄连,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,黄苓,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,生姜,万友生医生病例集,例4,现代临床
苓连二陈汤合小半夏汤,方剂组成药材,生甘草,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,证候采用方剂,噫气,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,旋覆花,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,代赭石,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,陈皮,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,竹茹,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,半夏,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,枳壳,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,麦冬,万友生医生病例集,例4,现代临床
旋覆代赭汤合橘皮竹茹汤加减,方剂组成药材,枇杷叶,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,证候采用方剂,胃溃疡,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,赤白芍,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,生甘草,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,生蒲黄,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,五灵脂,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,元胡索,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,川楝子,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,丹参,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,三七末,万友生医生病例集,例4,现代临床
芍药甘草汤合失笑散、金铃子散加味,方剂组成药材,山楂肉,万友生医生病例集,例4,现代临床
阴火理论,归属于经典,李杲,万友生医生病例集,例4,现代临床
万友生医生病例集,名医经验总结,阴火理论,万友生医生病例集,例4,现代临床
阴火实证,症状伴随症状,阳火实证,万友生医生病例集,例4,现代临床
阴火虚实相兼证,症状伴随症状,阴阳虚实错杂证,万友生医生病例集,例4,现代临床
脾虚阴火证,证候导致舌象,舌体胖淡而嫩,万友生医生病例集,例4,现代临床
脾虚阴火证,证候导致舌象,边有齿痕,万友生医生病例集,例4,现代临床
脾虚阴火证,证候导致舌象,苔白,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,便秘,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,尿灼,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,脉数,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,发热,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,胃中灼热,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,口苫干渴,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,舌糜,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,口疮,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,牙龈肿痛,万友生医生病例集,例4,现代临床
阴火虚证,症状伴随症状,咽痛,万友生医生病例集,例4,现代临床
阴火虚证,证候导致脉象,脉数,万友生医生病例集,例4,现代临床
脾虚阴火证,证候采用方剂,补中益气汤,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,黄芷,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,人参,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,炙甘草,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,升麻,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,柴胡,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,当归,万友生医生病例集,例4,现代临床
补中益气汤,方剂组成药材,陈皮,万友生医生病例集,例4,现代临床
黄芷,药材具有功效,甘温补脾益气除热,万友生医生病例集,例4,现代临床
人参,药材具有功效,补气,万友生医生病例集,例4,现代临床
炙甘草,药材具有功效,泻阴火,万友生医生病例集,例4,现代临床
升麻,药材具有功效,升阳解郁,万友生医生病例集,例4,现代临床
柴胡,药材具有功效,升阳解郁,万友生医生病例集,例4,现代临床
当归,药材具有功效,补血和血,万友生医生病例集,例4,现代临床
脾虚阴火证,归属于经典,脾胃论,万友生医生病例集,例4,现代临床
甘温除热法,理论指导实践,脾虚阴火证治疗,万友生医生病例集,例4,现代临床
万友生医生病例集,名医经验总结,阴火虚证治疗,万友生医生病例集,例4,现代临床
大叶性肺炎,疾病表现症状,高热,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,多汗肢冷,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,面白如纸,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,声音低微,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,极度疲乏,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,恶心厌食,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,咳嗽胸痛,万友生医生病例集,例一,现代临床
大叶性肺炎,疾病表现症状,咯铁锈色痰,万友生医生病例集,例一,现代临床
脾虚阴火证,证候导致舌象,舌红,万友生医生病例集,例一,现代临床
脾虚阴火证,证候导致脉象,脉虚弱,万友生医生病例集,例一,现代临床
